name,imageIndex,label,predictedClass,pNorm,finishedSearch,epsilon
Dense1x15,1535,0,0,1,True,8.242246396678786
Dense1x15,7052,0,0,1,True,8.411950017397132
Dense1x15,9137,0,0,1,True,15.850731925421105
Dense1x15,9689,1,1,1,True,6.151374442891987
Dense1x15,3434,1,1,1,True,4.287337118307832
Dense1x15,8768,1,1,1,True,4.7585277414143725
Dense1x15,9059,3,3,1,True,3.085012523498721
Dense1x15,4352,3,3,1,True,5.498492325943541
Dense1x15,6736,3,3,1,True,11.893609712683894
Dense1x20,9162,0,0,1,True,13.166868778483902
Dense1x20,3677,0,0,1,True,10.568128191655047
Dense1x20,7440,0,0,1,True,5.322200077804441
Dense1x20,154,1,1,1,True,5.657914635926602
Dense1x20,89,1,1,1,True,6.493835746530244
Dense1x20,8344,1,1,1,True,3.7021705421893203
Dense1x20,1166,3,3,1,True,0.8213813085664866
Dense1x20,3742,3,3,1,True,2.7756307545479038
Dense1x20,8032,3,3,1,True,9.09576233968082
Dense1x25,8359,0,0,1,True,5.120402412780661
Dense1x25,9080,0,0,1,True,9.394493486143528
Dense1x25,6621,0,0,1,True,3.011059242867185
Dense1x25,2510,1,1,1,True,3.2805484329205328
Dense1x25,189,1,1,1,True,2.691336707183294
Dense1x25,2276,1,1,1,True,2.8231700224781764
Dense1x25,9229,3,3,1,True,6.935036178574769
Dense1x25,6447,3,3,1,True,5.61470866606884
Dense1x25,9479,3,3,1,True,3.057885826623402
Dense1x30,8798,0,0,1,True,9.090769577258744
Dense1x30,5301,0,0,1,True,6.803448145595547
Dense1x30,8951,0,0,1,True,10.091652253843538
Dense1x30,9140,1,1,1,True,7.881107667372906
Dense1x30,6694,1,1,1,True,1.9295302857480632
Dense1x30,3380,1,1,1,True,4.683169922238814
Dense1x30,2441,3,3,1,True,4.12058468257081
Dense1x30,9536,3,3,1,True,4.1684688198732855
Dense1x30,9636,3,3,1,True,2.1464793095210304
Dense1x35,854,0,0,1,True,4.743983913370867
Dense1x35,5353,0,0,1,True,6.993100679429836
Dense1x35,3439,0,0,1,True,5.501542905717785
Dense1x35,2655,1,1,1,True,5.373997867248647
Dense1x35,6748,1,1,1,True,5.4420577991065535
Dense1x35,3214,1,1,1,True,3.6592203307133744
Dense1x35,6985,3,3,1,True,9.713236030460056
Dense1x35,6542,3,3,1,True,2.034940523423961
Dense1x35,1765,3,3,1,True,0.7737763212064932
Dense1x40,5830,0,0,1,True,9.041006785988847
Dense1x40,1808,0,0,1,True,3.586733610466596
Dense1x40,9519,0,0,1,True,12.976434214107723
Dense1x40,504,1,1,1,True,5.150211586355605
Dense1x40,2051,1,1,1,True,5.002363412808837
Dense1x40,8118,1,1,1,True,6.45094463602803
Dense1x40,2284,3,3,1,True,7.153916229786958
Dense1x40,2008,3,3,1,True,1.6509843005466749
Dense1x40,3549,3,2,1,True,0.0
Dense1x45,2226,0,0,1,True,4.219172096077378
Dense1x45,3849,0,0,1,True,5.511618516034472
Dense1x45,2217,0,0,1,True,5.775392542318375
Dense1x45,4179,1,1,1,True,8.664340312721578
Dense1x45,9878,1,1,1,True,5.217543900833351
Dense1x45,9641,1,1,1,True,3.842957269992654
Dense1x45,6030,3,3,1,True,0.09248269781109678
